Employee ID,Name,Salary,Country,Passcode	
16001018 -0115,Sean Herrera,"$28,689",Guatemala,JFH58LTF7LS	
16030503 -6774,William Maldonado,"$92,019",Samoa,SBN74FYH6JJ	
16031211 -8540,Xanthus Roman,"$72,771",Comoros,PAT27JJA6XB	
16060113 -5817,Ferdinand Stewart,"$92,932",Monaco,WOV44LRT2ZD	
16060415 -7529,Fredericka Davidson,"$71,823",Rwanda,AMK92WUZ6MP	
16080512 -1522,Nehru Rivers,"$17,611",Bhutan,MMY82OHH0QW	
16120428 -6379,Donna Haney,"$82,026",Guinea-Bissau,IVR42SIN5ZY	
16140530 -1837,Clark Wall,"$68,573",Montenegro,XGS23DFI6BM	
16160230 -4113,Cecilia Cox,"$26,126","Virgin Islands, United States",CYF43NLU7YB	
16240305 -4212,Burke Foley,"$92,187",Oman,ZKU60IGH6CD	
16250218 -6691,Lev Willis,"$47,705",Yemen,SCF90ZRL3BM	
16250807 -8058,Aileen Brooks,"$94,259",United States,JBE70KFC9TT	
16370902 -3281,Florence Holden,"$73,369",Mauritania,XLB23OTH2CM	
16390104 -0265,Benjamin Hooper,"$21,541",Guadeloupe,SBY10IJE3EQ	
16390625 -6379,Clementine Schultz,"$88,923",French Guiana,BQG44QPA9BP	
16661002 -7721,Reed Burgess,"$92,068",Antarctica,KXY20IFK3HJ	
16680804 -3472,Judah Reilly,"$92,868",Spain,YYN34ZBG4MS	
16690717 -5134,Jameson King,"$00,246",Sao Tome and Principe,BIJ26HVK4MK	
16700713 -1183,Griffin Mcpherson,"$99,378",Bouvet Island,LMA16BPO4VQ	
16771001 -0195,Zahir Nieves,"$06,103",Eritrea,UUI61JTZ0NC	
16780513 -9008,Neil Boyd,"$69,232",Burundi,ZEQ45YWH5CW	
16790520 -6707,Quinlan Mcdonald,"$24,193",Angola,YWO03UFQ0TB	
16950418 -3030,Shad Case,"$78,585",China,VUB47HWR5EN	
16970123 -5252,Astra Whitney,"$75,228",Central African Republic,SHP02CIP2VR	
16980624 -1155,Ezekiel Kaufman,"$57,782",Tajikistan,LCK04CXF2YJ		
16040110 -9038,Brielle Weiss,"$19,785",Bolivia,JEQ68XYP3MN	
16040828 -9221,Dalton Mccall,"$89,983","Virgin Islands, United States",KXY23CHX2OC	
16100501 -2636,Basia Ballard,"$01,702",Mexico,ITO91QFT9AO	
16180923 -8320,Chantale Morrow,"$77,352",Czech Republic,IAY65QLB0DW	
16241029 -4694,Briar Gilliam,"$47,625",Marshall Islands,FAN93HUL8BZ	
16321008 -7569,Yael Willis,"$52,151",Belize,PHM06BNX3EF	
16331222 -1181,Fletcher Owen,"$10,902",Andorra,QLI27LJG3XG	
16420222 -0788,Liberty Jefferson,"$00,217",Brazil,BYL56MQQ7UU	
16460418 -1489,Len Leon,"$81,881",Belarus,AVO94PMA2HA	
16460714 -7560,Justina Thompson,"$55,555",Reunion,PQI64VLW8AL	
16470709 -9687,Marny Benjamin,"$29,954",New Caledonia,NHL82EZX5IV	
16491126 -5819,Jane Moreno,"$69,676",Faroe Islands,PUG95IHI3EZ	
16500201 -6094,Berk Duke,"$09,382",United States,QDD98ZFP7XF	
16520122 -5884,Charlotte Tyson,"$72,222",Pitcairn Islands,MHH62SVH4NS	
16700327 -0803,Rogan Barker,"$61,388",Niue,LNL76EXV3OF	
16770513 -8902,Susan Porter,"$41,075",Niue,MQU39OAV8FZ	
16780528 -2444,Briar Massey,"$29,932",Puerto Rico,MQY19CND7CX	
16800122 -2739,Tamekah Shannon,"$54,921",Wallis and Futuna,SSK17IRB7FK	
16861207 -8744,Georgia Chandler,"$95,817",United Arab Emirates,DXF27TDK3QY	
16870817 -6782,Nathaniel Morrow,"$19,681",Eritrea,KNN72CNW0ZX	
16900709 -5269,Brett Gibson,"$65,492",Palau,GCQ58GRR0TB	
16970719 -4214,Meredith Terry,"$96,880",Syria,RXN01JXU2WC	
